"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3,294866672E-2;-1,574041218E-1;7,871121177E-1;-6,203544974E-2;8,050900201E-1
4,291966674E-2;2,014301473E-1;6,004967684E-1;-1,050779736E-1;6,420372681E-1
5,289166665E-2;3,860428253E-1;6,767663875E-1;-1,891083097E-1;8,017504344E-1
6,286366668E-2;5,510715701E-1;6,581848133E-1;2,552514285E-1;8,955670916E-1
7,283566671E-2;2,583602469E-1;5,396898186E-1;2,461028749E-1;6,469789351E-1
8,280766674E-2;-2,320759892E-2;6,362252294E-1;8,865314484E-2;6,427911911E-1
9,277966665E-2;1,939214453E-2;8,459834929E-1;-3,814548075E-2;8,470650525E-1
1,027506667E-1;2,261322945E-1;9,736381508E-1;-4,949960411E-2;1,000778334E0
1,127226667E-1;2,440048939E-1;1,034784970E0;-1,125939846E-1;1,069109783E0
1,226946667E-1;1,023245198E-1;1,005789651E0;-3,092639136E-1;1,057226228E0
1,326666666E-1;-3,336918265E-2;1,073734077E0;-4,436832154E-1;1,162270694E0
1,426386667E-1;-9,211995900E-2;1,181863932E0;-3,911465675E-1;1,248312492E0
1,526106667E-1;-1,786018865E-1;1,158451388E0;-3,446606183E-1;1,221760695E0
1,625816667E-1;-3,229883520E-1;1,049586831E0;-3,788095272E-1;1,161658577E0
1,725536666E-1;-2,290680353E-1;8,213958049E-1;-4,101874405E-1;9,462647460E-1
1,825256667E-1;-6,566744775E-2;7,827966533E-1;-2,605256170E-1;8,276209345E-1
1,924976667E-1;-4,736171588E-2;9,784653928E-1;-3,499587804E-1;1,040244589E0
2,024696667E-1;-2,122521740E-1;1,103416079E0;-4,812802273E-1;1,222378291E0
2,124416666E-1;-3,804546413E-1;1,243413917E0;-2,411865360E-1;1,322495689E0
2,224126667E-1;-4,672647437E-1;1,310592139E0;1,434918416E-1;1,398777325E0
2,323846667E-1;-4,233327122E-1;1,468503214E0;2,183116436E-1;1,543817427E0
2,423566667E-1;-4,256096180E-1;1,529230057E0;2,920181358E-1;1,613989686E0
2,523286667E-1;-4,544751289E-1;1,409691188E0;3,225827014E-1;1,515861632E0
2,623006667E-1;-3,330217355E-1;1,267892116E0;3,805069739E-1;1,365005293E0
2,722726667E-1;-1,880366613E-1;1,218589270E0;2,493053949E-1;1,257962947E0
2,822436667E-1;-7,013106599E-2;1,208281068E0;1,457915515E-1;1,219063855E0
2,922156667E-1;-9,575985074E-3;1,180664814E0;1,997911727E-1;1,197488044E0
3,021876666E-1;-1,754552805E-1;1,277591331E0;2,628984171E-1;1,316107800E0
3,121596667E-1;-3,479514313E-1;1,359056640E0;2,192319953E-1;1,419918243E0
3,221316667E-1;-3,548069262E-1;1,411930672E0;2,783625484E-1;1,482201702E0
3,321036667E-1;-2,914494941E-1;1,465674770E0;2,842734987E-1;1,521169537E0
3,420746666E-1;-2,813979842E-1;1,498538168E0;1,846807981E-1;1,535873844E0
3,520466667E-1;-2,085306405E-1;1,513487891E0;1,553727990E-1;1,535666412E0
