"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6,037803750E-1;1,608912696E0;-3,125418627E-1;1,643675709E-1;1,647209512E0
6,137523750E-1;1,621897754E0;1,843855137E-1;7,249611855E-2;1,633954109E0
6,237243749E-1;1,296665387E0;5,483811200E-2;-4,404286551E-1;1,370520246E0
6,336963749E-1;6,587565248E-1;-6,258865482E-1;-4,121901119E-1;9,977949782E-1
6,436683750E-1;1,664975654E-1;-1,251656152E0;5,669460297E-2;1,263953654E0
6,536403750E-1;6,537947237E-2;-1,157874999E0;-2,732053041E-2;1,160041120E0
6,636123749E-1;2,203815579E-2;-8,356741208E-1;-1,282247615E-1;8,457413942E-1
6,735833749E-1;-3,515258342E-2;-8,652791584E-1;3,736370802E-2;8,667985768E-1
6,835553750E-1;-1,985261276E-2;-9,776100183E-1;6,402701139E-3;9,778325361E-1
6,935273750E-1;-1,174729013E-1;-8,305940598E-1;-2,816732419E-1;8,848876708E-1
7,034993749E-1;-1,629813422E-1;-7,633405548E-1;-3,452997190E-1;8,535125169E-1
7,134713749E-1;3,509484217E-1;-7,977730536E-1;2,756862777E-1;9,141168216E-1
7,234433750E-1;4,163392961E-1;-9,854061109E-1;7,199723411E-1;1,289466473E0
7,334153750E-1;-2,120827509E-1;-1,225376426E0;3,643575490E-1;1,295871484E0
7,433873749E-1;-2,192441283E-1;-1,162528798E0;2,095677173E-1;1,201440728E0
7,533593749E-1;-2,984448105E-2;-1,041224216E0;4,063697934E-2;1,042444207E0
7,633313750E-1;1,331533796E-1;-1,024089535E0;-1,669660735E-1;1,046119911E0
7,733033750E-1;2,737096265E-1;-1,023490781E0;-2,025662613E-1;1,078648890E0
7,832753750E-1;1,180513372E-1;-1,061473124E0;-4,993878847E-1;1,179003635E0
7,932463749E-1;-4,726026669E-2;-1,448163528E0;-7,412655616E-1;1,627539791E0
8,032183750E-1;-2,421446022E-1;-1,712774010E0;-6,770385754E-1;1,857581775E0
8,131903750E-1;-1,596086682E-1;-1,439443576E0;-7,275871700E-1;1,620757793E0
8,231623750E-1;2,540426628E-1;-1,461486994E0;-9,445100999E-1;1,758573637E0
8,331343749E-1;1,391108883E-1;-1,817350293E0;-1,187557805E0;2,175409724E0
8,431063750E-1;-1,651825266E-1;-1,756446864E0;-1,111267428E0;2,085019460E0
8,530783750E-1;-1,992551292E-1;-1,426459833E0;-9,141291368E-1;1,705908069E0
8,630503750E-1;-2,967404202E-1;-1,104931385E0;-1,025627353E0;1,536502428E0
8,730223749E-1;-3,994723447E-1;-6,412354892E-1;-1,588449342E0;1,758957765E0
8,829943750E-1;-7,869816517E-1;2,939161420E-1;-1,668750324E0;1,868275799E0
8,929663750E-1;-1,144351266E0;1,226293269E0;-1,316188948E0;2,132061995E0
9,029383750E-1;-9,594092439E-1;1,430227779E0;-1,374692094E0;2,203587065E0
9,129093749E-1;-8,002128044E-1;1,089777741E0;-1,710639192E0;2,180422551E0
9,228813750E-1;-1,110278371E0;1,255637521E0;-2,259720808E0;2,813482145E0
9,328533750E-1;-2,416796463E0;1,872631039E0;-1,381076669E0;3,354850953E0
9,428253750E-1;-1,902598019E0;4,713469774E-1;-6,313203657E-1;2,059274775E0
9,527973749E-1;-1,310715515E-2;-8,464446920E-1;-6,621755379E-1;1,074763629E0
9,627693749E-1;1,480424371E-1;-4,420144200E-2;-4,863351452E-1;5,102863943E-1
9,727413750E-1;1,786818106E-1;6,635753614E-1;-4,843640488E-1;8,407544121E-1
9,827133750E-1;7,692497510E-1;5,156864136E-1;-1,118180591E-1;9,328348916E-1
9,926853749E-1;6,449879399E-1;8,994152033E-1;-8,495887399E-2;1,110033856E0
1,002657375E0;-2,001705839E-1;1,529954381E0;2,617038310E-2;1,543215332E0
1,012629375E0;-1,477635103E0;1,958006819E0;-4,196160758E-1;2,488628911E0
1,022601375E0;-2,737800270E0;2,271325192E0;-9,346873623E-1;3,678057764E0
1,032572375E0;-3,221026450E0;2,392126914E0;-1,219076051E0;4,193259947E0
1,042544375E0;-2,923088886E0;1,976311528E0;-1,221255308E0;3,733861328E0
1,052516375E0;-1,425742234E0;2,123641482E0;2,681813765E-1;2,571870003E0
1,062488375E0;-5,185179278E-1;3,169256957E0;1,278000197E0;3,456347061E0
1,072460375E0;-7,363957080E-1;4,243565304E0;1,626932791E0;4,604023831E0
1,082432375E0;-1,418745017E-1;4,803359020E0;2,433442170E0;5,386467028E0
1,092404375E0;2,460781704E-1;4,664968289E0;2,451566784E0;5,275667096E0
1,102376375E0;-1,490646766E-1;4,705900553E0;2,708061331E0;5,431511435E0
1,112348375E0;-1,570904186E-1;5,243029876E0;2,971822797E0;6,028745343E0
1,122320375E0;1,966266596E-1;5,552111356E0;3,011805473E0;6,319460006E0
1,132292375E0;-3,738364702E-1;5,857056516E0;2,859941588E0;6,528715848E0
1,142264375E0;-6,104308954E-1;6,317027151E0;2,754436183E0;6,918408530E0
1,152235375E0;-3,922303489E-1;6,869310118E0;3,411978972E0;7,680030381E0
1,162207375E0;-5,552399039E-2;7,330618595E0;3,915164623E0;8,310810185E0
1,172179375E0;3,249709967E-1;7,536329489E0;4,276830114E0;8,671398050E0
1,182151375E0;8,115578645E-1;7,608713926E0;5,410491793E0;9,371476683E0
1,192123375E0;1,693759742E0;7,645966537E0;6,104078574E0;9,929219586E0
1,202095375E0;2,381441712E0;7,261419137E0;6,532370748E0;1,005342430E1
1,212067375E0;2,421211549E0;6,494667317E0;6,723768243E0;9,656708979E0
1,222039375E0;2,463290744E0;5,730464298E0;6,419590822E0;8,950819442E0
1,232011375E0;3,036085451E0;4,680390320E0;6,452740442E0;8,530048512E0
1,241983375E0;2,571220405E0;3,488264671E0;6,605732839E0;7,900308293E0
1,251955375E0;1,961196183E0;2,997306132E0;3,741039804E0;5,179335221E0
1,261927375E0;1,590660759E0;2,142294685E0;3,981284353E0;4,792729208E0
1,271898375E0;1,804764453E0;1,330134557E0;3,383939819E0;4,059246404E0
1,281870375E0;1,662120751E0;4,840658408E-1;2,936586306E0;3,408886073E0
1,291842375E0;1,692967737E0;-4,062838393E-1;2,845644853E0;3,336000742E0
1,301814375E0;1,620873322E0;-9,571202052E-1;2,621518446E0;3,227331464E0
1,311786375E0;1,535815630E0;-1,244471093E0;2,494140362E0;3,182479237E0
1,321758375E0;1,717350918E0;-1,845031012E0;2,909266945E0;3,849320429E0
1,331730375E0;1,208299413E0;-2,266595380E0;2,818771635E0;3,813517486E0
1,341702375E0;1,569255856E0;-2,895218425E0;3,003954417E0;4,457420308E0
1,351674375E0;1,937228592E0;-4,058545368E0;3,293181676E0;5,574019257E0
1,361646375E0;2,056538397E0;-4,891137421E0;3,359485009E0;6,280025077E0
1,371618375E0;1,761320372E0;-5,171270506E0;2,595373791E0;6,048161143E0
1,381590375E0;1,421388251E0;-5,417028396E0;1,598036583E0;5,823938712E0
1,391562375E0;1,027355352E0;-5,659722928E0;6,701609342E-1;5,791117191E0
1,401534375E0;5,655372892E-1;-5,928470315E0;1,117770555E-1;5,956432390E0
1,411505375E0;3,178297922E-1;-6,166260204E0;-3,282825673E-1;6,183166674E0
1,421477375E0;8,949879840E-2;-6,436896826E0;-8,674192393E-1;6,495696030E0
1,431449375E0;-1,958089265E-1;-6,589443666E0;-1,546311382E0;6,771276678E0
1,441421375E0;-6,810105890E-1;-6,854052978E0;-1,958300934E0;7,160779301E0
1,451393375E0;-8,922637662E-1;-7,066692823E0;-2,219468576E0;7,460584618E0
1,461365375E0;-7,496101230E-1;-7,240652166E0;-2,404250531E0;7,666118949E0
1,471337375E0;-6,236815631E-1;-7,381592283E0;-2,362799619E0;7,775583924E0
1,481313542E0;-6,555874801E-1;-7,328307776E0;-2,283227785E0;7,703701637E0
1,491285542E0;-4,820523521E-1;-7,170608370E0;-2,155585406E0;7,503102512E0
1,501257542E0;-1,799664804E-1;-7,150122065E0;-2,144089780E0;7,466843675E0
1,511229542E0;8,965857357E-2;-7,160258798E0;-2,011391898E0;7,437946093E0
1,521201542E0;2,802298567E-1;-7,003323623E0;-1,669066658E0;7,204918740E0
1,531173542E0;3,838220528E-1;-6,887188565E0;-1,566117071E0;7,073429746E0
1,541145542E0;5,324480420E-1;-6,985368578E0;-1,770966085E0;7,226008301E0
