"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
1,513140199E2;6,508111526E1;2,540461227E1;6,725731717E0;2,422676205E1;1,880401680E0;1,149452358E2;2,805969926E-1;4,528998447E0;3,794700250E0;-1,000000000E0
1,523140069E2;6,508110738E1;2,540465364E1;7,430696339E0;2,493171790E1;2,031369425E0;1,142781824E2;2,823014020E-1;4,513771432E0;3,770840799E0;-1,000000000E0
1,533139933E2;6,508110503E1;2,540468959E1;8,659383496E0;2,616039939E1;1,890982959E0;1,079179855E2;2,846249282E-1;4,526116801E0;3,670613729E0;-1,000000000E0
1,543139796E2;6,508109864E1;2,540473681E1;8,193015537E0;2,569402256E1;2,092320447E0;1,107718736E2;2,862509286E-1;4,549583571E0;3,622958234E0;-1,000000000E0
1,553139659E2;6,508110415E1;2,540476895E1;7,455819583E0;2,495682485E1;1,868348007E0;1,050573017E2;2,878227186E-1;4,577402821E0;3,587745873E0;-1,000000000E0
1,563139518E2;6,508110319E1;2,540480243E1;6,851716829E0;2,435271736E1;1,838438780E0;1,098076345E2;2,891057872E-1;4,602646502E0;3,555303392E0;-1,000000000E0
1,573139371E2;6,508110007E1;2,540482879E1;7,055628362E0;2,455662413E1;1,722854564E0;1,163678256E2;2,907648148E-1;4,615788547E0;3,538224572E0;-1,000000000E0
1,583139234E2;6,508110069E1;2,540486417E1;7,036595264E0;2,453758673E1;1,764290743E0;1,132002582E2;2,922315671E-1;4,621584685E0;3,530650370E0;-1,000000000E0
1,593139086E2;6,508109536E1;2,540489281E1;5,937705287E0;2,343869074E1;1,743639742E0;1,169851503E2;2,940547291E-1;4,626436819E0;3,524289913E0;-1,000000000E0
1,603138940E2;6,508109209E1;2,540493094E1;5,698210246E0;2,319918935E1;1,894569066E0;1,137153957E2;2,957134331E-1;4,619293092E0;3,533648025E0;-1,000000000E0
1,613138793E2;6,508108796E1;2,540496496E1;5,885893461E0;2,338686638E1;1,950208953E0;1,142130704E2;2,973765937E-1;4,624170403E0;3,527263119E0;-1,000000000E0
1,623138640E2;6,508108238E1;2,540499791E1;5,573973363E0;2,307493961E1;2,011026295E0;1,156182545E2;2,989211658E-1;4,634064202E0;3,514254686E0;-1,000000000E0
1,633138484E2;6,508107846E1;2,540502953E1;5,523025700E0;2,302398615E1;1,975271433E0;1,141316091E2;3,002199064E-1;4,633673846E0;3,514769370E0;-1,000000000E0
1,643138338E2;6,508107354E1;2,540505468E1;4,091399189E0;2,159235426E1;1,795450824E0;1,162621166E2;3,017604785E-1;4,641248099E0;3,504761492E0;-1,000000000E0
1,653138183E2;6,508106886E1;2,540508563E1;4,432533399E0;2,193348244E1;1,664619530E0;1,150776391E2;3,034068415E-1;4,639346503E0;3,507278298E0;-1,000000000E0
1,663138033E2;6,508106094E1;2,540511531E1;5,085647866E0;2,258658963E1;1,587806966E0;1,166260526E2;3,053504694E-1;4,640057002E0;3,506338268E0;-1,000000000E0
1,673137882E2;6,508105198E1;2,540515093E1;3,579151139E0;2,108008441E1;1,686266238E0;1,176918294E2;3,069503136E-1;4,634630495E0;3,513507821E0;-1,000000000E0
1,683137714E2;6,508104357E1;2,540517864E1;3,768146082E0;2,126907212E1;1,696510642E0;1,224594962E2;3,086120040E-1;4,636477700E0;3,511069861E0;-1,000000000E0
1,693137554E2;6,508103289E1;2,540520344E1;4,069811868E0;2,157073006E1;1,665115663E0;1,284125201E2;3,106009069E-1;4,636151773E0;3,511500216E0;-1,000000000E0
1,703137403E2;6,508101709E1;2,540522336E1;4,087987897E0;2,158889665E1;1,702883961E0;1,367526766E2;3,125991369E-1;4,634822614E0;3,513254384E0;-1,000000000E0
1,713137240E2;6,508100031E1;2,540523861E1;3,903396189E0;2,140429568E1;1,733017856E0;1,438550038E2;3,140574812E-1;4,626750296E0;3,523878365E0;-1,000000000E0
1,723137076E2;6,508098927E1;2,540525541E1;4,366740851E0;2,186763337E1;1,703383960E0;1,464132638E2;3,159282194E-1;4,629530231E0;3,520225400E0;-1,000000000E0
1,733136930E2;6,508097287E1;2,540526434E1;4,257016618E0;2,175790086E1;1,716921127E0;1,537847433E2;3,177404608E-1;4,629448382E0;3,520333040E0;-1,000000000E0
1,743136774E2;6,508095787E1;2,540527946E1;3,477971778E0;2,097884755E1;1,726431199E0;1,556303278E2;3,195541043E-1;4,620700526E0;3,531807424E0;-1,000000000E0
1,753136604E2;6,508094217E1;2,540529000E1;3,255633790E0;2,075650138E1;1,740624545E0;1,603008038E2;3,212567772E-1;4,610628131E0;3,544946441E0;-1,000000000E0
1,763136446E2;6,508092879E1;2,540530767E1;3,784534886E0;2,128539438E1;1,744683476E0;1,583981666E2;3,230552382E-1;4,612991004E0;3,541871120E0;-1,000000000E0
1,773136284E2;6,508091336E1;2,540531916E1;3,388794311E0;2,088964562E1;1,749988866E0;1,609546473E2;3,248877399E-1;4,614099715E0;3,540426649E0;-1,000000000E0
1,783136117E2;6,508090033E1;2,540534312E1;3,731078870E0;2,123192142E1;1,731221398E0;1,553670639E2;3,268056545E-1;4,615209552E0;3,538979771E0;-1,000000000E0
1,793135953E2;6,508089175E1;2,540537862E1;4,112677822E0;2,161351207E1;1,723796198E0;1,383630141E2;3,286457495E-1;4,620345416E0;3,532271970E0;-1,000000000E0
1,803135793E2;6,508088094E1;2,540540837E1;3,888713526E0;2,138953924E1;1,748244214E0;1,313112994E2;3,303507510E-1;4,625420496E0;3,525623671E0;-1,000000000E0
1,813135636E2;6,508087535E1;2,540544225E1;3,983477396E0;2,148429631E1;1,719694747E0;1,201077436E2;3,321699294E-1;4,633116403E0;3,515504151E0;-1,000000000E0
1,823135462E2;6,508086309E1;2,540546798E1;3,779568201E0;2,128037847E1;1,712677671E0;1,260426169E2;3,339255186E-1;4,637969583E0;3,509098913E0;-1,000000000E0
1,833135298E2;6,508085568E1;2,540550107E1;4,124102198E0;2,162490499E1;1,723772741E0;1,261193553E2;3,356603846E-1;4,640216325E0;3,506127421E0;-1,000000000E0
1,843135130E2;6,508084907E1;2,540553461E1;3,967714694E0;2,146851029E1;1,726892846E0;1,231312982E2;3,372717174E-1;4,641542163E0;3,504372038E0;-1,000000000E0
1,853134977E2;6,508083977E1;2,540556098E1;2,774915213E0;2,027570337E1;1,695690268E0;1,272174257E2;3,391562341E-1;4,641488227E0;3,504443476E0;-1,000000000E0
1,863134805E2;6,508083246E1;2,540559727E1;3,001000489E0;2,050178079E1;1,760028573E0;1,239684266E2;3,409921055E-1;4,641060303E0;3,505010171E0;-1,000000000E0
1,873134638E2;6,508082575E1;2,540563308E1;3,354189538E0;2,085496231E1;1,732454600E0;1,221846980E2;3,427822984E-1;4,640462111E0;3,505802109E0;-1,000000000E0
1,883134472E2;6,508082184E1;2,540567014E1;3,501007071E0;2,100177337E1;1,716562834E0;1,165482657E2;3,445457177E-1;4,647481755E0;3,496491151E0;-1,000000000E0
1,893134298E2;6,508081572E1;2,540570486E1;3,739857226E0;2,124061639E1;1,723522506E0;1,169557242E2;3,463285673E-1;4,648683249E0;3,494893572E0;-1,000000000E0
1,903134134E2;6,508080936E1;2,540573979E1;4,350092690E0;2,185084459E1;1,707055097E0;1,185947514E2;3,481494536E-1;4,655388374E0;3,485956988E0;-1,000000000E0
1,913133974E2;6,508079905E1;2,540576999E1;4,247318389E0;2,174806192E1;1,727037335E0;1,235798848E2;3,498501005E-1;4,655568359E0;3,485716611E0;-1,000000000E0
1,923133807E2;6,508079196E1;2,540580215E1;4,652393586E0;2,215312989E1;1,712489500E0;1,228478910E2;3,515896987E-1;4,655940268E0;3,485219828E0;-1,000000000E0
1,933133636E2;6,508078258E1;2,540583187E1;4,021726823E0;2,152245523E1;1,719447954E0;1,249571812E2;3,533165244E-1;4,653018199E0;3,489120043E0;-1,000000000E0
1,943133471E2;6,508077552E1;2,540586470E1;3,916282318E0;2,141700343E1;1,724276224E0;1,229527590E2;3,549990241E-1;4,655878445E0;3,485302417E0;-1,000000000E0
1,953133301E2;6,508076994E1;2,540589808E1;4,334756756E0;2,183547115E1;1,722724192E0;1,208390662E2;3,566308157E-1;4,663059218E0;3,475689250E0;-1,000000000E0
1,963133136E2;6,508076258E1;2,540592822E1;4,464036684E0;2,196474400E1;1,716036957E0;1,205690930E2;3,583895587E-1;4,664556608E0;3,473679416E0;-1,000000000E0
1,973132967E2;6,508075584E1;2,540596218E1;4,332847253E0;2,183354727E1;1,721440436E0;1,200399093E2;3,600661541E-1;4,664925651E0;3,473183799E0;-1,000000000E0
1,983132797E2;6,508074693E1;2,540599103E1;4,414404228E0;2,191509665E1;1,719032504E0;1,217638848E2;3,617655345E-1;4,667575839E0;3,469621423E0;-1,000000000E0
1,993132632E2;6,508073969E1;2,540602298E1;4,696485952E0;2,219717112E1;1,716894588E0;1,208703529E2;3,635633338E-1;4,665553918E0;3,472339798E0;-1,000000000E0
2,003132461E2;6,508072878E1;2,540605130E1;3,491618047E0;2,099229484E1;1,721855682E0;1,230732100E2;"";4,661355924E0;3,477973258E0;-1,000000000E0
